frame,time,Ball_z,Ball_y,Ball_x,Ball_rot_x,Ball_rot_y,Ball_rot_z,Ball_rot_w,Ball_ang_vel_x,Ball_ang_vel_y,Ball_ang_vel_z,Ball_vel_x,Ball_vel_y,Ball_vel_z,hxzywassaved_x,hxzywassaved_y,hxzywassaved_z,hxzywassaved_rot_x,hxzywassaved_rot_y,hxzywassaved_rot_z,hxzywassaved_rot_w,hxzywassaved_yaw,hxzywassaved_pitch,hxzywassaved_roll,hxzywassaved_ang_vel_x,hxzywassaved_ang_vel_y,hxzywassaved_ang_vel_z,hxzywassaved_vel_x,hxzywassaved_vel_y,hxzywassaved_vel_z,hxzywassaved_throttle,Juicy_Dom12_x,Juicy_Dom12_y,Juicy_Dom12_z,Juicy_Dom12_rot_x,Juicy_Dom12_rot_y,Juicy_Dom12_rot_z,Juicy_Dom12_rot_w,Juicy_Dom12_yaw,Juicy_Dom12_pitch,Juicy_Dom12_roll,Juicy_Dom12_ang_vel_x,Juicy_Dom12_ang_vel_y,Juicy_Dom12_ang_vel_z,Juicy_Dom12_vel_x,Juicy_Dom12_vel_y,Juicy_Dom12_vel_z,hxzywassaved_boost,Juicy_Dom12_boost,Juicy_Dom12_throttle,hxzywassaved_steer,Juicy_Dom12_steer,Juicy_Dom12_handbrake,hxzywassaved_handbrake,Juicy_Dom12_jump,Juicy_Dom12_double_jump,hxzywassaved_jump,hxzywassaved_double_jump,hxzywassaved_rot_jump,hxzywassaved_rot_double_jump,hxzywassaved_ang_vel_jump,hxzywassaved_ang_vel_double_jump,hxzywassaved_vel_jump,hxzywassaved_vel_double_jump,Juicy_Dom12_rot_jump,Juicy_Dom12_rot_double_jump,Juicy_Dom12_ang_vel_jump,Juicy_Dom12_ang_vel_double_jump,Juicy_Dom12_vel_jump,Juicy_Dom12_vel_double_jump
20,12.302067,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.992,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,12.3354,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.992,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12.368732,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.992,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,12.402065,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.992,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12.435398,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.992,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,12.468731,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.992,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,12.502064,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.992,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,12.535397,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.906,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12.568729,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.75,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,12.602062,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.625,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
